Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2006,,MÊS,,,,,,,,,,,,ANO - 2006 
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0960"
,,"0,1151","0,1090","0,0981","0,0959","0,1151","0,1079","0,0838","0,0833","0,0840","0,0831","0,0930","0,0841",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2014,,MÊS,,,,,,,,,,,,ANO - 2014
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,1355"
,,"0,0911","0,1169","0,1238","0,1310","0,1422","0,1440","0,1464","0,1578","0,1431","0,1413","0,1514","0,1368",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2015,,MÊS,,,,,,,,,,,,ANO - 2015
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,1244"
,,"0,1275","0,1321","0,1369","0,1301","0,1258","0,1406","0,1221","0,1183","0,1217","0,1180","0,1127","0,1075",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2016,,MÊS,,,,,,,,,,,,ANO - 2016
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0817"
,,"0,0960","0,0815","0,0710","0,0757","0,0701","0,0760","0,0725","0,0836","0,0897","0,0925","0,1002","0,0714",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2017,,MÊS,,,,,,,,,,,,ANO - 2017
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0927"
,,"0,0566","0,0536","0,0696","0,0815","0,0847","0,0676","0,0965","0,1312","0,1264","0,1366","0,1193","0,0892",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2018,,MÊS,,,,,,,,,,,,ANO - 2018
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0740"
,,"0,0640","0,0608","0,0635","0,0523","0,0607","0,0915","0,1076","0,1181","0,1182","0,0802","0,0366","0,0343",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2019,,MÊS,,,,,,,,,,,,ANO - 2019
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0750"
,,"0,0355","0,0667","0,0530","0,0514","0,0482","0,0426","0,0906","0,1070","0,1024","0,1040","0,1078","0,0913",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2020,,MÊS,,,,,,,,,,,,ANO - 2020
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0617"
,,"0,0916","0,0558","0,0384","0,0296","0,0358","0,0491","0,0400","0,0414","0,0329","0,0961","0,1191","0,1109",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2021,,MÊS,,,,,,,,,,,,ANO - 2021
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,1263"
,,"0,1164","0,0820","0,0673","0,0764","0,0883","0,1491","0,1634","0,1743","0,1699","0,1786","0,1474","0,1029",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2022,,MÊS,,,,,,,,,,,,ANO - 2022
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0426"
,,"0,0732","0,0503","0,0406","0,0216","0,0280","0,0441","0,0419","0,0457","0,0491","0,0471","0,0402","0,0294",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2023,,MÊS,,,,,,,,,,,,ANO - 2023
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0385"
,,"0,0292","0,0238","0,0296","0,0340","0,0295","0,0528","0,0495","0,0419","0,0343","0,0387","0,0529","0,0459",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2024,,MÊS,,,,,,,,,,,,ANO - 2024
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0545"
,,"0,0421","0,0376","0,0278","0,0195","0,0283","0,0365","0,0571","0,0739","0,0917","0,1127","0,0701","0,0564",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2025,,MÊS,,,,,,,,,,,,ANO - 2025
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,
,,"0,0237","0,0248","0,0215","0,0289","0,0309","0,0455","0,0603","0,0667","0,0563",,,,
